tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0378947	movie	Melinda and Melinda	Melinda and Melinda	0	2004	\N	99	Comedy,Drama,Romance	6.4	33832
tt0379217	movie	Coffee and Cigarettes	Coffee and Cigarettes	0	2003	\N	95	Comedy,Drama,Music	7.0	69622
tt0379225	movie	The Corporation	The Corporation	0	2003	\N	145	Documentary,History	8.0	22143
tt0379306	movie	A Good Woman	A Good Woman	0	2004	\N	93	Comedy,Drama,Romance	6.4	14602
tt0379370	movie	Maqbool	Maqbool	0	2003	\N	132	Crime,Drama,Thriller	8.0	13242
tt0379557	movie	Touching the Void	Touching the Void	0	2003	\N	106	Adventure,Documentary,Drama	7.9	39307
tt0379593	movie	The Yes Men	The Yes Men	0	2003	\N	83	Comedy,Documentary	6.8	6206
tt0379725	movie	Capote	Capote	0	2005	\N	114	Biography,Crime,Drama	7.3	146735
tt0379786	movie	Serenity	Serenity	0	2005	\N	119	Action,Adventure,Sci-Fi	7.8	312195
tt0379865	movie	Leatherheads	Leatherheads	0	2008	\N	114	Comedy,Drama,Romance	6.0	34115
tt0379889	movie	The Merchant of Venice	The Merchant of Venice	0	2004	\N	131	Drama,Romance	7.0	39417
tt0380268	movie	Cocaine Cowboys	Cocaine Cowboys	0	2006	\N	118	Crime,Documentary,History	7.7	14441
tt0380366	movie	A Fond Kiss	Ae Fond Kiss...	0	2004	\N	104	Drama,Romance	7.1	7551
tt0380389	movie	Goal! The Dream Begins	Goal!	0	2005	\N	118	Drama,Romance,Sport	6.7	67779
tt0380510	movie	The Lovely Bones	The Lovely Bones	0	2009	\N	135	Drama,Fantasy,Thriller	6.6	187754
tt0380538	movie	Killing Cabos	Matando Cabos	0	2004	\N	94	Action,Adventure,Comedy	7.4	6096
tt0380599	movie	Oliver Twist	Oliver Twist	0	2005	\N	130	Crime,Drama	6.8	35178
tt0380609	movie	P.S.	P.S.	0	2004	\N	97	Comedy,Drama,Fantasy	6.1	6713
tt0380817	movie	Winter Passing	Winter Passing	0	2005	\N	98	Comedy,Drama	6.2	9112
tt0381061	movie	Casino Royale	Casino Royale	0	2006	\N	144	Action,Adventure,Thriller	8.0	724342
tt0381270	movie	Happily Ever After	Ils se marièrent et eurent beaucoup d'enfants	0	2004	\N	100	Comedy,Drama,Music	6.4	5582
tt0381348	movie	The Place Promised in Our Early Days	Kumo no mukô, yakusoku no basho	0	2004	\N	90	Animation,Drama,Romance	6.8	15839
tt0381429	movie	Somersault	Somersault	0	2004	\N	106	Drama,Romance	6.7	8367
tt0381505	movie	Pretty Persuasion	Pretty Persuasion	0	2005	\N	104	Comedy,Drama	6.4	11017
tt0381668	movie	Tropical Malady	Sud pralad	0	2004	\N	118	Drama,Fantasy,Romance	7.1	6639
tt0381681	movie	Before Sunset	Before Sunset	0	2004	\N	80	Drama,Romance	8.1	306087
tt0381849	movie	3:10 to Yuma	3:10 to Yuma	0	2007	\N	122	Action,Crime,Drama	7.6	345313
tt0381936	movie	Bummer	Bumer	0	2003	\N	110	Adventure,Crime,Drama	7.1	8519
tt0381940	movie	Cargo	Cargo	0	2009	\N	112	Drama,Mystery,Sci-Fi	6.1	20441
tt0381971	movie	Curious George	Curious George	0	2006	\N	87	Adventure,Animation,Comedy	6.5	19038
tt0382189	movie	My Summer of Love	My Summer of Love	0	2004	\N	86	Drama,Romance	6.7	22512
tt0382330	movie	As It Is in Heaven	Så som i himmelen	0	2004	\N	133	Comedy,Drama,Music	7.5	18861
